Column number;id_doc;original_name;normalized_name;latitude;longitude;id_wkd;type_place;longTitle;shortTitle;pubPlace;printer;date;type_text;genre;url
1;Ner_BCN_001;Portugal;Portugal;38,7;-9,183333333;Q45;Países/reinos/imperios/continentes;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
2;Ner_BCN_001;Portugal;Portugal;38,7;-9,183333333;Q45;Países/reinos/imperios/continentes;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
3;Ner_BCN_001;España;España;40,2;-3,5;Q29;Países/reinos/imperios/continentes;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
4;Ner_BCN_001;Portugal;Portugal;38,7;-9,183333333;Q45;Países/reinos/imperios/continentes;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
5;Ner_BCN_001;Portugal;Portugal;38,7;-9,183333333;Q45;Países/reinos/imperios/continentes;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
6;Ner_BCN_001;Portugal;Portugal;38,7;-9,183333333;Q45;Países/reinos/imperios/continentes;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
7;Ner_BCN_001;Mondego;Baixo Mondego;40,22;-8,43;Q804037;Pueblos/ciudades/regiones;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
8;Ner_BCN_001;Navarra;Navarra;42,81666667;-1,65;Q4018;Pueblos/ciudades/regiones;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
9;Ner_BCN_001;Lisboa;Lisboa;38,708042;-9,139016;Q597;Pueblos/ciudades/regiones;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
10;Ner_BCN_001;Castilla;Cerezo de Río Tirón;42,49111111;-3,135555556;Q1114855;Pueblos/ciudades/regiones;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
