"Freq-terms"	"Freq"	"MI-terms"	"MI"	"Dice-Terms"	"Dice"	"LL-Terms"	"LL"
"1"	"madrid"	37	"madrid"	6.20575824290494	"madrid"	1	"á"	24.2136672638007
"2"	"á"	25	"jornada"	4.66531320195779	"jornada"	0.117647058823529	"jornada"	22.9767693981412
"3"	"caballero"	4	"clase"	4.59632033047084	"clase"	0.0851063829787234	"caballero"	15.8344582921127
"4"	"tierra"	3	"huerta"	4.59632033047084	"huerta"	0.0851063829787234	"gastar"	14.9621109931613
"5"	"gastar"	3	"prado"	4.19085522236267	"prado"	0.0769230769230769	"clase"	14.9554553186754
"6"	"jornada"	3	"cuidadoso"	4.06569207940867	"cuidadoso"	0.0740740740740741	"huerta"	14.9554553186754
"7"	"desgracia"	3	"saltar"	3.95446644429845	"saltar"	0.0714285714285714	"desgracia"	13.3106638385216
"8"	"salir"	2	"forastero"	3.90317314991089	"gastar"	0.0689655172413793	"prado"	13.2023881485802
"9"	"vida"	2	"boticario"	3.80786297010657	"paseo"	0.0655737704918033	"cuidadoso"	12.6751120353583
"10"	"cuarto"	2	"moda"	3.80786297010657	"hazaña"	0.0625	"saltar"	12.2110818382353
"11"	"padre"	2	"heredar"	3.80786297010657	"desgracia"	0.058252427184466	"paseo"	11.2489212192595
"12"	"cosa"	2	"paseo"	3.72085159311694	"grandeza"	0.0563380281690141	"hazaña"	10.769716784358
"13"	"punto"	2	"aprender"	3.72085159311694	"vuelta"	0.0547945205479452	"grandeza"	9.84249047993217
"14"	"dueño"	2	"verter"	3.72085159311694	"caballero"	0.0529801324503311	"vuelta"	9.61471724050352
"15"	"é"	2	"convenir"	3.72085159311694	"tio"	0.0493827160493827	"tio"	8.82176070747664
"16"	"andar"	2	"ufano"	3.72085159311694	"considerar"	0.0465116279069767	"considerar"	8.40083985135425
"17"	"considerar"	2	"setenta"	3.72085159311694	"córte"	0.0459770114942529	"córte"	8.32218242861563
"18"	"pasar"	2	"campana"	3.6408088854434	"é"	0.0425531914893617	"é"	7.81481757183792
"19"	"mañana"	2	"hazaña"	3.60306855746056	"forastero"	0.0425531914893617	"fortuna"	7.61755340744276
"20"	"prado"	2	"coche"	3.43316952066516	"boticario"	0.0416666666666667	"tierra"	6.75931878748816
