id,chapbook,page,IIIF_link,title,date,publisher,publication_place
grabado_v_391_1,Varios_391,Varios_391_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_391_1.jpg/128,255,1460,1054/full/0/default.jpg",Canciones de la Marsellesa,[s.a.],Tipografía Española,Barcelona
grabado_m_307_1,Moreno_307,Moreno_307_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8105093/515,283,743,857/full/0/default.jpg",Trobos para cantar los aficionados,1858,José María Moreno,Carmona (Sevilla)
grabado_v_273_3,Varios_273,Varios_273_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_273_1.jpg/1248,231,494,982/full/0/default.jpg",Trovos del pájaro,[s.a.],Juan Grau,Reus
grabado_m_342_1,Moreno_342,Moreno_342_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8109828/493,224,390,698/full/0/default.jpg",Pregunta que hace un curioso a su amigo aventurero,[s.a.],José María Moreno,Carmona (Sevilla)
grabado_v_028_1,Varios_028,Varios_028_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_028_1.jpg/47,509,1801,1420/full/0/default.jpg",El cantor de las hermosas,1876,Narciso Ramírez,Barcelona
grabado_m_321_2,Moreno_321,Moreno_321_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8107156/914,416,423,711/full/0/default.jpg",Don Pedro Juan de la Rosa y Doña María de Bargas,1859,José María Moreno,Carmona (Sevilla)
grabado_m_119_3,Moreno_119,Moreno_119_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8108755/1098,360,481,674/full/0/default.jpg","Colección de coplas nuevas de Fandango, Malagueñas y Rondeñas",[s.a.],José María Moreno,Carmona (Sevilla)
grabado_v_441_1,Varios_441,Varios_441_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_441_1.jpg/149,148,816,674/full/0/default.jpg","Historia verdadera y espantosa del Diluvio Universal, fundación de Babilonia y la gran Torre de Babel",[s.a.],Sucesores de Hernando,Madrid
grabado_v_090_1,Varios_090,Varios_090_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_090_1.jpg/210,306,1237,1080/full/0/default.jpg",Las tres canciones,1870,Tipografía Española,Barcelona
grabado_v_422_2,Varios_422,Varios_422_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_422_1.jpg/422,680,776,1009/full/0/default.jpg",El cantor de las hermosas,1881,Narciso Ramírez,Barcelona
grabado_m_006_1,Moreno_006,Moreno_006_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8103379/459,126,956,653/full/0/default.jpg","Villancicos nuevos, alegres y divertidos, para cantar en estas próximas Navidades",1851,José María Moreno,Carmona (Sevilla)
grabado_m_043_1,Moreno_043,Moreno_043_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8110211/403,189,492,909/full/0/default.jpg",Décimas glosadas,[s.a.],José María Moreno,Carmona (Sevilla)
grabado_v_329_1,Varios_329,Varios_329_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_329_1.jpg/158,157,499,848/full/0/default.jpg",Hechos gloriosos de nuestro ejército en los campos de africa,1859,José María Marés,Madrid
grabado_b_016_1,BCN_016,BCN_016_1.jpg,"https://iiif.unige.ch/iiif/2/varios/BCN_016_1.jpg/249,203,650,500/full/0/default.jpg","Nuevo, y curioso romance",[s.a.],Herederos de Juan Jolis,Barcelona
grabado_b_053_1,BCN_053,BCN_053_1.jpg,"https://iiif.unige.ch/iiif/2/varios/BCN_053_1.jpg/109,29,1146,801/full/0/default.jpg","Romance nuevo, en que se declara y da cuenta, como estando cautivo un cristiano",1848,Herederos de la Viuda Pla,Barcelona
grabado_m_284_2,Moreno_284,Moreno_284_5.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8110020/116,136,1737,400/full/0/default.jpg",El jardín engañoso,1859,José María Moreno,Carmona (Sevilla)
grabado_b_030_2,BCN_030,BCN_030_1.jpg,"https://iiif.unige.ch/iiif/2/varios/BCN_030_1.jpg/652,48,450,690/full/0/default.jpg",La muerte de Don Rodrigo Calderon,[s.a.],Herederos de la Viuda Pla,Barcelona
grabado_m_178_2,Moreno_178,Moreno_178_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8106115/1015,423,366,783/full/0/default.jpg",Pasillo del capitán Cascada y el licenciado Torrejón,1856,José María Moreno,Carmona (Sevilla)
grabado_v_234_1,Varios_234,Varios_234_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_234_1.jpg/441,309,823,707/full/0/default.jpg",Modernos y alegres couplets de la falda pantalon,[s.a.],E. Pamies,Tarragona
grabado_v_271_1,Varios_271,Varios_271_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_271_1.jpg/367,271,955,1486/full/0/default.jpg",Los siete dolores,[s.a.],Cristina Segura,Barcelona
grabado_v_257_2,Varios_257,Varios_257_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_257_1.jpg/0,149,387,596/full/0/default.jpg",El sepulcro ó lo que puede el amor,[s.a.],El Abanico,Barcelona
